url,label,source,collected_at
http://5cn1cjni8kkk1w3mg.69vipjili.com/,1,openphish,2026-05-29
http://activetask.help/project/Flverr,1,openphish,2026-05-29
http://activetask.help/view/es,1,openphish,2026-05-29
http://aflinks.co.uk/Re-Format/TenderDocRFP.php,1,openphish,2026-05-29
http://aktiifkanpayylaterll.from-resmi.my.id/,1,openphish,2026-05-29
http://amazon-clone-zeta-nine.vercel.app/,1,openphish,2026-05-29
http://b36552.com/,1,openphish,2026-05-29
http://b592af96.click.kit-mail3.com/lmup7gdw6khmhn9nv4wu6h8wko4wkugh4ozgo/qvh8h7hdpek6edbl/aHR0cHM6Ly9kaXNrY2FjYW1iYXNkZXRyb2l0LmNvbS5ici9hdXRoL3JhY2tlc3BhY2U=,1,openphish,2026-05-29
http://blassma.com/project/Flverr,1,openphish,2026-05-29
http://c-consultaratendimentonline.shop/,1,openphish,2026-05-29
http://cryttopcomogin.webflow.io/,1,openphish,2026-05-29
http://digital-task.com/project/Flverr,1,openphish,2026-05-29
http://digital-task.com/view/es,1,openphish,2026-05-29
http://digital-task.pro/fv/chek-inf,1,openphish,2026-05-29
http://digital-task.pro/project/bio,1,openphish,2026-05-29
http://digital-task.pro/project/user8236581,1,openphish,2026-05-29
http://discordinc.netlify.app/,1,openphish,2026-05-29
http://doupt.sbs/view/es,1,openphish,2026-05-29
http://drenixzen.com/gallery/pro-service,1,openphish,2026-05-29
http://drenixzen.com/od/pro-service,1,openphish,2026-05-29
http://drenixzen.com/view/es,1,openphish,2026-05-29
http://e6feaoc59minzknd8yv1.69vipjili.com/,1,openphish,2026-05-29
http://erific754ations.com.ytp.meo.mybluehost.me/,1,openphish,2026-05-29
http://erific754ations.com.ytp.meo.mybluehost.me/login,1,openphish,2026-05-29
http://fillingform.me/project/Flverr,1,openphish,2026-05-29
http://fillingform.me/view/es,1,openphish,2026-05-29
http://first-illuminated.bond/view/kollise,1,openphish,2026-05-29
http://first-illuminated.bond/work/verifyfreelancer,1,openphish,2026-05-29
http://fistralbeachadultsonly.spahotel.guru/,1,openphish,2026-05-29
http://fiverr-projects.pro/view/maindesk,1,openphish,2026-05-29
http://fiverr-projectsale.pro/view/kollise,1,openphish,2026-05-29
http://fiverr-projectsale.pro/work/verifyfreelancer,1,openphish,2026-05-29
http://fiverr-projectspad.pro/view/es,1,openphish,2026-05-29
http://fiverr-veriflcation.pro/project/Flverr,1,openphish,2026-05-29
http://fiverr-veriflcation.pro/project/WorkOrder,1,openphish,2026-05-29
http://fiverr-veriflcation.pro/view/information,1,openphish,2026-05-29
http://fiverr-veriflcation.pro/view/kollise,1,openphish,2026-05-29
http://fiverr-veriflcation.pro/work/verifyfreelancer,1,openphish,2026-05-29
http://fiverr-workspace.pro/project/Flverr,1,openphish,2026-05-29
http://fiverr-workspace.pro/view/es,1,openphish,2026-05-29
http://fliver-rorder.click/work/verifyfreelancer,1,openphish,2026-05-29
http://flverr-verlflcation.com/project/flverr,1,openphish,2026-05-29
http://flverr-verlflcation.com/view/kollise,1,openphish,2026-05-29
http://flverr-verlflcation.com/work/verifyfreelancer,1,openphish,2026-05-29
http://flverr.cam/view/es,1,openphish,2026-05-29
http://framelast.com/fv/chek-inf,1,openphish,2026-05-29
http://framelast.com/project/bio,1,openphish,2026-05-29
http://framelast.com/work/user84359231,1,openphish,2026-05-29
http://frontend-terkper-joseph-coinbase.vercel.app/,1,openphish,2026-05-29
http://georgetownmover.com/www.linkedin.com/index.html,1,openphish,2026-05-29
http://gigupdate.digital/fv/chek-inf,1,openphish,2026-05-29
http://gigupdate.digital/work/user84359231,1,openphish,2026-05-29
http://gladorione.com/fv/chek-inf,1,openphish,2026-05-29
http://gladorione.com/work/user84359231,1,openphish,2026-05-29
http://hefolas.com/project/Flverr,1,openphish,2026-05-29
http://help-trezer-io-startt.typedream.app/,1,openphish,2026-05-29
http://individual-project.pro/view/es,1,openphish,2026-05-29
http://information-progress.digital/fv/chek-inf,1,openphish,2026-05-29
http://ingable.info/PL-1466-160526/?u=81C1466&e=alumlab@56b5acee49097bf462df2fce0938be73d3bb.com&s3=anatol&s4=lapinski&s5=&s6=&s7=&s8=,1,openphish,2026-05-29
http://insta-clone-umber.vercel.app/,1,openphish,2026-05-29
http://interactive-party-667481.framer.app/,1,openphish,2026-05-29
http://jaswanthlakshman.github.io/NetflixClone,1,openphish,2026-05-29
http://konsimer.com/fv/project3184,1,openphish,2026-05-29
http://kurcoinlagany.webflow.io/,1,openphish,2026-05-29
http://lieferung-dhl.aiinterface.co.uk/,1,openphish,2026-05-29
http://lurantero.com/project/more,1,openphish,2026-05-29
http://maindata.world/view/delivers,1,openphish,2026-05-29
http://mazienolden.com/view/kollise,1,openphish,2026-05-29
http://mazienolden.com/work/verifyfreelancer,1,openphish,2026-05-29
http://midasbuyofficial-excange.topup-mobiles.com/,1,openphish,2026-05-29
http://midasbuystore.topup-mobiles.com/,1,openphish,2026-05-29
http://mohsin-imran1.github.io/Net-Clone,1,openphish,2026-05-29
http://morvanelithix.com/project/WorkOrder,1,openphish,2026-05-29
http://morvanelithix.com/view/information,1,openphish,2026-05-29
http://myprojects.help/project/Flverr,1,openphish,2026-05-29
http://myshop.7-11.com.gsart.top/kefu.php,1,openphish,2026-05-29
http://netflexro-trialpremium-sandu.netlify.app/,1,openphish,2026-05-29
http://news.info-games.ru/,1,openphish,2026-05-29
http://officialarubaspid.bar/,1,openphish,2026-05-29
http://poshmark-shop.shop/view/information,1,openphish,2026-05-29
http://profesio-portfolio.lat/view/kollise,1,openphish,2026-05-29
http://profesio-portfolio.lat/work/verifyfreelancer,1,openphish,2026-05-29
http://professionaldata.lat/project/jT35aF,1,openphish,2026-05-29
http://professionelle-flverr.help/bones/referss,1,openphish,2026-05-29
http://professionelle-flverr.help/view/kollise,1,openphish,2026-05-29
http://professionelle-flverr.help/work/verifyfreelancer,1,openphish,2026-05-29
http://projectcenter.pro/fv/chek-inf,1,openphish,2026-05-29
